ID,typeID,abilityID_A,MAXLv_A,min_A1,max_A1,min_A2,max_A2,min_A3,max_A3,min_A4,max_A4,textID_A,LvID_A,nameID_A,abilityID_B,MAXLv_B,min_B1,max_B1,min_B2,max_B2,min_B3,max_B3,min_B4,max_B4,textID_B,LvID_B,nameID_B,abilityID_C,MAXLv_C,min_C1,max_C1,min_C2,max_C2,min_C3,max_C3,min_C4,max_C4,textID_C,LvID_C,nameID_C,abilityID_D,MAXLv_D,min_D1,max_D1,min_D2,max_D2,min_D3,max_D3,min_D4,max_D4,textID_D,LvID_D,nameID_D,abilityID_E,MAXLv_E,min_E1,max_E1,min_E2,max_E2,min_E3,max_E3,min_E4,max_E4,textID_E,LvID_E,nameID_E,abilityID_F,MAXLv_F,min_F1,max_F1,min_F2,max_F2,min_F3,max_F3,min_F4,max_F4,textID_F,LvID_F,namFID_F
21,0,45,1,0,0,0,0,0,0,0,0,54,6,-1,53,1,0,0,0,0,0,0,0,0,65,6,-1,46,1,0,0,0,0,0,0,0,0,55,6,-1,32,10,8,80,0,0,0,0,0,0,27,5,-1,31,10,8,80,0,0,0,0,0,0,28,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
22,0,8,10,5,15,0,0,0,0,0,0,45,5,-1,55,1,0,0,0,0,0,0,0,0,67,6,-1,19,10,16,70,0,0,0,0,0,0,19,5,-1,20,10,16,70,0,0,0,0,0,0,20,5,-1,32,10,8,80,0,0,0,0,0,0,27,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
23,32,15,10,2,20,0,0,0,0,0,0,49,5,-1,49,1,0,0,0,0,0,0,0,0,58,6,-1,1,10,30,30,39,120,50,50,0,0,71,13,302,32,10,8,80,0,0,0,0,0,0,27,5,-1,31,10,8,80,0,0,0,0,0,0,28,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
30,0,1,10,0,0,8,80,0,0,0,0,42,5,-1,3,10,0,0,5,50,0,0,0,0,44,5,-1,32,10,2,20,0,0,0,0,0,0,27,5,-1,31,10,2,20,0,0,0,0,0,0,28,5,-1,27,10,1,10,0,0,0,0,0,0,29,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
31,0,10,10,33,33,5,50,0,0,0,0,10,4,-1,50,10,1,10,200,200,0,0,0,0,59,4,-1,18,10,16,70,0,0,0,0,0,0,18,5,-1,32,10,2,20,0,0,0,0,0,0,27,5,-1,31,10,2,20,0,0,0,0,0,0,28,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
32,0,16,0,0,0,0,0,0,0,0,0,16,6,-1,38,0,0,0,0,0,0,0,0,0,38,6,-1,32,10,2,20,0,0,0,0,0,0,27,5,-1,31,10,2,20,0,0,0,0,0,0,28,5,-1,27,10,1,10,0,0,0,0,0,0,29,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
33,0,1,10,0,0,5,50,0,0,0,0,42,5,-1,19,10,16,70,0,0,0,0,0,0,19,5,-1,20,10,16,70,0,0,0,0,0,0,20,5,-1,29,0,0,0,0,0,0,0,0,0,25,6,-1,32,10,2,20,0,0,0,0,0,0,27,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
34,0,2,10,0,0,12,30,0,0,0,0,43,8,-1,22,10,5,50,0,0,0,0,0,0,22,8,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,25,10,40,400,0,0,0,0,0,0,31,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
35,0,3,10,0,0,6,60,0,0,0,0,44,5,-1,11,10,28,100,0,0,0,0,0,0,11,4,-1,15,10,15,60,0,0,0,0,0,0,15,4,-1,31,10,2,20,0,0,0,0,0,0,28,5,-1,25,10,50,500,0,0,0,0,0,0,31,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
36,0,3,10,40,40,15,60,0,0,0,0,3,4,-1,20,10,16,70,0,0,0,0,0,0,20,5,-1,32,10,2,20,0,0,0,0,0,0,27,5,-1,31,10,2,20,0,0,0,0,0,0,28,5,-1,27,10,1,10,0,0,0,0,0,0,29,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
37,0,20,10,16,70,0,0,0,0,0,0,20,2,-1,22,10,5,50,0,0,0,0,0,0,22,2,-1,32,10,2,20,0,0,0,0,0,0,27,2,-1,31,10,2,20,0,0,0,0,0,0,28,2,-1,27,10,1,10,0,0,0,0,0,0,29,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
38,0,8,10,13,40,0,0,0,0,0,0,8,1,-1,18,10,16,70,0,0,0,0,0,0,18,2,-1,32,10,2,20,0,0,0,0,0,0,27,2,-1,31,10,2,20,0,0,0,0,0,0,28,2,-1,25,10,20,200,0,0,0,0,0,0,31,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
39,0,20,10,16,70,0,0,0,0,0,0,20,5,-1,19,10,16,70,0,0,0,0,0,0,19,5,-1,27,10,1,10,0,0,0,0,0,0,29,5,-1,32,10,2,20,0,0,0,0,0,0,27,5,-1,31,10,2,20,0,0,0,0,0,0,28,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
40,0,8,10,23,50,0,0,0,0,0,0,8,4,-1,18,10,16,70,0,0,0,0,0,0,18,5,-1,22,10,5,50,0,0,0,0,0,0,22,5,-1,32,10,2,20,0,0,0,0,0,0,27,5,-1,31,10,2,20,0,0,0,0,0,0,28,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
41,0,11,10,5,50,0,0,0,0,0,0,11,1,-1,53,0,0,0,0,0,0,0,0,0,65,3,-1,19,10,16,70,0,0,0,0,0,0,19,2,-1,32,10,2,20,0,0,0,0,0,0,27,2,-1,31,10,2,20,0,0,0,0,0,0,28,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
42,0,11,10,28,100,0,0,0,0,0,0,11,7,-1,20,10,16,70,0,0,0,0,0,0,20,8,-1,29,0,0,0,0,0,0,0,0,0,25,9,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
43,0,2,10,50,50,39,120,0,0,0,0,2,7,-1,47,0,0,0,0,0,0,0,0,0,56,9,-1,27,10,1,10,0,0,0,0,0,0,29,8,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
44,0,10,10,67,67,20,200,0,0,0,0,10,7,-1,22,10,5,50,0,0,0,0,0,0,22,8,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,25,10,50,500,0,0,0,0,0,0,31,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
46,0,13,5,1,5,0,0,0,0,0,0,48,2,-1,21,10,5,50,0,0,0,0,0,0,21,2,-1,32,10,2,20,0,0,0,0,0,0,27,2,-1,31,10,2,20,0,0,0,0,0,0,28,2,-1,25,10,10,100,0,0,0,0,0,0,31,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
47,0,46,0,0,0,0,0,0,0,0,0,55,3,-1,30,10,16,70,0,0,0,0,0,0,26,2,-1,44,0,0,0,0,0,0,0,0,0,53,3,-1,52,10,5,50,0,0,0,0,0,0,64,2,-1,32,10,2,20,0,0,0,0,0,0,27,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
48,0,11,10,28,100,0,0,0,0,0,0,11,1,-1,20,10,16,70,0,0,0,0,0,0,20,2,-1,48,0,0,0,0,0,0,0,0,0,57,3,-1,32,10,2,20,0,0,0,0,0,0,27,2,-1,31,10,2,20,0,0,0,0,0,0,28,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
49,0,10,10,67,67,51,150,0,0,0,0,10,1,-1,14,0,0,0,0,0,0,0,0,0,14,3,-1,32,10,2,20,0,0,0,0,0,0,27,2,-1,31,10,2,20,0,0,0,0,0,0,28,2,-1,27,10,1,10,0,0,0,0,0,0,29,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
50,0,1,10,30,30,39,120,30,30,0,0,1,1,-1,3,10,0,0,12,30,0,0,0,0,44,2,-1,11,10,23,50,0,0,0,0,0,0,11,1,-1,37,0,0,0,0,0,0,0,0,0,37,3,-1,32,10,2,20,0,0,0,0,0,0,27,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
51,0,21,10,5,50,0,0,0,0,0,0,21,2,-1,30,10,16,70,0,0,0,0,0,0,26,2,-1,40,0,0,0,0,0,0,0,0,0,40,3,-1,32,10,2,20,0,0,0,0,0,0,27,2,-1,31,10,2,20,0,0,0,0,0,0,28,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
52,0,17,10,3,30,2,2,0,0,0,0,17,1,-1,53,1,0,0,0,0,0,0,0,0,65,3,-1,19,10,16,70,0,0,0,0,0,0,19,2,-1,32,10,2,20,0,0,0,0,0,0,27,2,-1,31,10,2,20,0,0,0,0,0,0,28,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
55,0,3,10,0,0,3,30,0,0,0,0,44,2,-1,11,10,23,50,0,0,0,0,0,0,11,1,-1,39,0,0,0,0,0,0,0,0,0,39,3,-1,32,10,2,20,0,0,0,0,0,0,27,2,-1,31,10,2,20,0,0,0,0,0,0,28,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
56,0,14,0,0,0,0,0,0,0,0,0,14,3,-1,39,0,0,0,0,0,0,0,0,0,39,3,-1,32,10,2,20,0,0,0,0,0,0,27,2,-1,31,10,2,20,0,0,0,0,0,0,28,2,-1,26,10,15,60,0,0,0,0,0,0,32,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
57,8,2,10,30,30,15,60,0,0,0,0,76,7,306,14,0,0,0,0,0,0,0,0,0,14,9,-1,46,0,0,0,0,0,0,0,0,0,55,9,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
58,0,18,10,16,70,0,0,0,0,0,0,18,2,-1,37,0,0,0,0,0,0,0,0,0,37,3,-1,32,10,2,20,0,0,0,0,0,0,27,2,-1,31,10,2,20,0,0,0,0,0,0,28,2,-1,26,10,2,20,0,0,0,0,0,0,32,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
59,0,3,10,40,40,24,60,0,0,0,0,3,7,-1,20,10,16,70,0,0,0,0,0,0,20,8,-1,29,0,0,0,0,0,0,0,0,0,25,9,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
61,0,19,10,16,70,0,0,0,0,0,0,19,5,-1,20,10,16,70,0,0,0,0,0,0,20,5,-1,32,10,2,20,0,0,0,0,0,0,27,5,-1,31,10,2,20,0,0,0,0,0,0,28,5,-1,25,10,30,300,0,0,0,0,0,0,31,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
66,0,37,0,0,0,0,0,0,0,0,0,37,9,-1,29,0,0,0,0,0,0,0,0,0,25,9,-1,26,10,28,100,0,0,0,0,0,0,32,8,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
71,0,10,10,60,60,14,50,0,0,0,0,10,7,-1,19,10,16,70,0,0,0,0,0,0,19,8,-1,20,10,16,70,0,0,0,0,0,0,20,8,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
72,0,10,10,0,0,23,50,0,0,0,0,46,8,-1,18,10,16,70,0,0,0,0,0,0,18,8,-1,25,10,30,300,0,0,0,0,0,0,31,8,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
73,0,11,10,28,100,0,0,0,0,0,0,11,7,-1,22,10,5,50,0,0,0,0,0,0,22,8,-1,29,0,0,0,0,0,0,0,0,0,25,9,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,27,10,1,10,0,0,0,0,0,0,29,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
75,0,2,10,40,40,15,60,0,0,0,0,2,7,-1,10,10,50,50,23,50,0,0,0,0,10,7,-1,29,0,0,0,0,0,0,0,0,0,25,9,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
76,0,10,10,50,50,23,50,0,0,0,0,10,7,-1,22,10,5,50,0,0,0,0,0,0,22,8,-1,29,0,0,0,0,0,0,0,0,0,25,9,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
83,0,1,10,30,30,57,120,50,50,0,0,1,7,-1,29,0,0,0,0,0,0,0,0,0,25,9,-1,40,0,0,0,0,0,0,0,0,0,40,9,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
84,0,8,10,3,30,0,0,0,0,0,0,45,8,-1,17,10,5,15,3,3,0,0,0,0,17,7,-1,29,0,0,0,0,0,0,0,0,0,25,9,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
85,0,8,10,3,30,0,0,0,0,0,0,45,8,-1,29,0,0,0,0,0,0,0,0,0,25,9,-1,40,0,0,0,0,0,0,0,0,0,40,9,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
86,0,6,1,0,0,0,0,0,0,0,0,6,9,-1,29,1,0,0,0,0,0,0,0,0,25,9,-1,20,10,16,70,0,0,0,0,0,0,20,8,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
87,0,51,10,30,30,24,60,0,0,0,0,60,7,-1,47,0,0,0,0,0,0,0,0,0,56,9,-1,19,10,16,70,0,0,0,0,0,0,19,8,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
105,0,1,10,40,40,39,120,50,50,0,0,1,7,-1,22,10,5,50,0,0,0,0,0,0,22,8,-1,29,0,0,0,0,0,0,0,0,0,25,9,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
106,0,58,10,10,100,0,0,0,0,0,0,78,7,-1,22,10,5,50,0,0,0,0,0,0,22,8,-1,18,10,16,70,0,0,0,0,0,0,18,8,-1,20,10,16,70,0,0,0,0,0,0,20,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
107,0,22,10,5,50,0,0,0,0,0,0,22,8,-1,20,10,16,70,0,0,0,0,0,0,20,8,-1,25,10,50,500,0,0,0,0,0,0,31,8,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
124,0,8,10,3,30,0,0,0,0,0,0,45,8,-1,22,10,5,50,0,0,0,0,0,0,22,8,-1,46,0,0,0,0,0,0,0,0,0,55,9,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
125,0,15,10,32,50,0,0,0,0,0,0,15,7,-1,37,0,0,0,0,0,0,0,0,0,37,9,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,25,10,100,1000,0,0,0,0,0,0,31,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
134,0,3,10,40,40,39,120,0,0,0,0,3,7,-1,19,10,16,70,0,0,0,0,0,0,19,8,-1,21,10,16,70,0,0,0,0,0,0,21,8,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
136,0,1,10,40,40,39,120,50,50,0,0,1,7,-1,2,10,0,0,12,30,0,0,0,0,43,8,-1,20,10,16,70,0,0,0,0,0,0,20,8,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
138,0,8,10,23,50,0,0,0,0,0,0,8,7,-1,3,10,0,0,4,40,0,0,0,0,44,8,-1,20,10,16,70,0,0,0,0,0,0,20,8,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
143,0,3,10,3,30,0,0,0,0,0,0,63,8,-1,8,10,3,30,0,0,0,0,0,0,45,8,-1,29,0,0,0,0,0,0,0,0,0,25,9,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
145,0,30,10,16,70,0,0,0,0,0,0,26,2,-1,40,0,0,0,0,0,0,0,0,0,40,3,-1,32,10,2,20,0,0,0,0,0,0,27,2,-1,31,10,2,20,0,0,0,0,0,0,28,2,-1,26,10,2,20,0,0,0,0,0,0,32,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
146,0,56,10,3,30,1,1,1600,1600,1200,1200,68,1,-1,48,1,0,0,0,0,0,0,0,0,57,3,-1,19,10,16,70,0,0,0,0,0,0,19,2,-1,32,10,2,20,0,0,0,0,0,0,27,2,-1,31,10,2,20,0,0,0,0,0,0,28,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
147,0,51,10,20,20,23,50,0,0,0,0,60,1,-1,47,1,0,0,0,0,0,0,0,0,56,3,-1,30,10,16,70,0,0,0,0,0,0,26,2,-1,32,10,2,20,0,0,0,0,0,0,27,2,-1,31,10,2,20,0,0,0,0,0,0,28,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
148,0,20,10,16,70,0,0,0,0,0,0,20,2,-1,21,10,5,50,0,0,0,0,0,0,21,2,-1,30,10,16,70,0,0,0,0,0,0,26,2,-1,32,10,2,20,0,0,0,0,0,0,27,2,-1,31,10,2,20,0,0,0,0,0,0,28,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
149,0,11,10,5,50,0,0,0,0,0,0,47,2,-1,13,0,2,2,0,0,0,0,0,0,52,3,-1,22,10,23,50,0,0,0,0,0,0,22,2,-1,32,10,2,20,0,0,0,0,0,0,27,2,-1,31,10,2,20,0,0,0,0,0,0,28,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
150,0,2,10,0,0,24,60,0,0,0,0,43,5,-1,21,10,23,50,0,0,0,0,0,0,21,5,-1,32,10,2,20,0,0,0,0,0,0,27,5,-1,31,10,2,20,0,0,0,0,0,0,28,5,-1,27,10,1,10,0,0,0,0,0,0,29,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
151,0,3,10,50,50,15,60,0,0,0,0,3,4,-1,17,10,3,30,2,2,0,0,0,0,17,4,-1,32,10,2,20,0,0,0,0,0,0,27,5,-1,31,10,2,20,0,0,0,0,0,0,28,5,-1,25,10,20,200,0,0,0,0,0,0,31,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
152,0,1,10,20,20,39,120,50,50,0,0,1,4,-1,47,1,0,0,0,0,0,0,0,0,56,6,-1,20,10,16,70,0,0,0,0,0,0,20,5,-1,32,10,2,20,0,0,0,0,0,0,27,5,-1,31,10,2,20,0,0,0,0,0,0,28,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
153,0,15,10,2,20,0,0,0,0,0,0,49,5,-1,38,0,0,0,0,0,0,0,0,0,38,6,-1,32,10,2,20,0,0,0,0,0,0,27,5,-1,31,10,2,20,0,0,0,0,0,0,28,5,-1,25,10,20,200,0,0,0,0,0,0,31,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
158,0,40,0,0,0,0,0,0,0,0,0,40,9,-1,29,0,0,0,0,0,0,0,0,0,25,9,-1,18,10,16,70,0,0,0,0,0,0,18,8,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
159,0,3,10,40,40,39,120,0,0,0,0,3,7,-1,29,0,0,0,0,0,0,0,0,0,25,9,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,27,10,1,10,0,0,0,0,0,0,29,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
161,0,13,0,5,5,0,0,0,0,0,0,52,9,-1,39,0,0,0,0,0,0,0,0,0,39,9,-1,14,0,0,0,0,0,0,0,0,0,14,9,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
168,0,3,10,0,0,12,30,0,0,0,0,44,8,-1,11,10,28,100,0,0,0,0,0,0,11,7,-1,51,10,30,30,23,50,0,0,0,0,60,7,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,25,10,40,400,0,0,0,0,0,0,31,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
170,0,13,10,1,10,0,0,0,0,0,0,48,8,-1,44,0,0,0,0,0,0,0,0,0,53,9,-1,54,10,5,50,0,0,0,0,0,0,66,8,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
177,0,10,10,50,50,5,50,0,0,0,0,10,7,-1,19,10,16,70,0,0,0,0,0,0,19,8,-1,18,10,16,70,0,0,0,0,0,0,18,8,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
194,0,2,10,40,40,39,120,0,0,0,0,2,7,-1,10,10,67,67,23,50,0,0,0,0,10,7,-1,11,10,28,100,0,0,0,0,0,0,11,7,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
195,0,1,10,40,40,51,150,50,50,0,0,1,7,-1,8,10,12,30,0,0,0,0,0,0,8,7,-1,11,10,14,50,0,0,0,0,0,0,11,7,-1,32,10,2,20,0,0,0,0,0,0,27,8,-1,31,10,2,20,0,0,0,0,0,0,28,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
197,0,1,10,30,30,39,120,30,30,0,0,1,1,-1,3,10,0,0,12,30,0,0,0,0,44,2,-1,19,10,16,70,0,0,0,0,0,0,19,2,-1,39,0,0,0,0,0,0,0,0,0,39,3,-1,32,10,2,20,0,0,0,0,0,0,27,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
